Name,Internship,Term,Course_Name,Course_Code,Section_Code,Placement_Status,Site,SiteCategory,SUBJECT,Student_Name,StudentID,Assessment_Document_Title,Rubric_Title,Assessment_Status,AssessorUID,Assessor_Role,Assessment_Completion_Date,Score,Points_Possible,Percentage,Performance_Levels
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Principled,Completed,221,mentor,4/12/16 9:09,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Compassionate and Respectful ,Completed,221,mentor,4/12/16 9:09,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Collaborative,Completed,221,mentor,4/12/16 9:09,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Communicative,Completed,221,mentor,4/12/16 9:09,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Final Student Teaching Evaluation Rubric (Spring 2016),Craft,Completed,31,supervisor,4/24/16 1:24,19,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Final Student Teaching Evaluation Rubric (Spring 2016),Attitudes and Values,Completed,31,supervisor,4/24/16 1:24,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Final Student Teaching Evaluation Rubric (Spring 2016),Relationships,Completed,31,supervisor,4/24/16 1:24,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Final Student Teaching Evaluation Rubric (Spring 2016),Essential Knowledge,Completed,31,supervisor,4/24/16 1:24,10,0,0,4.000-Exemplary|3.000-Proficient|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Craft,Completed,31,supervisor,4/5/16 4:42,18,0,0,4.000-Exemplary|4.000-Exemplary|3.000-Proficient|4.000-Exemplary|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Attitudes and Values,Completed,31,supervisor,4/5/16 4:42,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Relationships,Completed,31,supervisor,4/5/16 4:42,19,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Supervisor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Essential Knowledge,Completed,31,supervisor,4/5/16 4:42,10,0,0,4.000-Exemplary|3.000-Proficient|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Professional and Committed ,Completed,31,supervisor,4/24/16 1:29,19,0,0,4.000-Exemplary|3.000-Proficient|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Confident,Completed,31,supervisor,4/24/16 1:29,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Principled,Completed,31,supervisor,4/24/16 1:29,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Compassionate and Respectful ,Completed,31,supervisor,4/24/16 1:29,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Collaborative,Completed,31,supervisor,4/24/16 1:29,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Communicative,Completed,31,supervisor,4/24/16 1:29,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,First Teaching Assessment (Spring 2016),Implementing,Completed,31,supervisor,3/8/16 4:54,29,0,0,3.000-Proficient|4.000-Exemplary |4.000-Exemplary |3.000-Proficient|4.000-Exemplary |3.000-Proficient|4.000-Exemplary |4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,First Teaching Assessment (Spring 2016),Managing ,Completed,31,supervisor,3/8/16 4:54,14,0,0,4.000-Exemplary |3.000-Proficient|3.000-Proficient|4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,First Teaching Assessment (Spring 2016),Assessing,Completed,31,supervisor,3/8/16 4:54,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,First Teaching Assessment (Spring 2016),Confident and Passionate,Completed,31,supervisor,3/8/16 4:54,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,First Teaching Assessment (Spring 2016),Relationships,Completed,31,supervisor,3/8/16 4:54,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Second Teaching Assessment (Spring 2016),Implementing,Completed,31,supervisor,3/29/16 7:42,28,0,0,4.000-Exemplary |4.000-Exemplary |3.000-Proficient|3.000-Proficient|3.000-Proficient|4.000-Exemplary |3.000-Proficient|4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Second Teaching Assessment (Spring 2016),Managing ,Completed,31,supervisor,3/29/16 7:42,14,0,0,4.000-Exemplary |3.000-Proficient|3.000-Proficient|4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Second Teaching Assessment (Spring 2016),Assessing,Completed,31,supervisor,3/29/16 7:42,6,0,0,3.000-Proficient|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Second Teaching Assessment (Spring 2016),Confident and Passionate,Completed,31,supervisor,3/29/16 7:42,11,0,0,3.000-Proficient|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Second Teaching Assessment (Spring 2016),Relationships,Completed,31,supervisor,3/29/16 7:42,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Third Teaching Assessment (Spring 2016),Implementing,Completed,31,supervisor,4/5/16 4:33,31,0,0,4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Third Teaching Assessment (Spring 2016),Managing ,Completed,31,supervisor,4/5/16 4:33,16,0,0,4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Third Teaching Assessment (Spring 2016),Assessing,Completed,31,supervisor,4/5/16 4:33,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Third Teaching Assessment (Spring 2016),Confident and Passionate,Completed,31,supervisor,4/5/16 4:33,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
